date,fajr,sunrise,dhuhr,asr,maghrib,isha,fajrj,dhuhrj,asrj,maghribj,ishaj,isha2
01/01/2024,6:40 AM,8:25 AM,12:17 PM,2:11 PM,4:02 PM,5:39 PM,7:30 AM,1:00 PM,2:45 PM,4:02 PM,7:15 PM,
02/01/2024,6:40 AM,8:25 AM,12:17 PM,2:12 PM,4:03 PM,5:40 PM,7:30 AM,1:00 PM,2:45 PM,4:03 PM,7:15 PM,
03/01/2024,6:40 AM,8:24 AM,12:18 PM,2:13 PM,4:05 PM,5:41 PM,7:30 AM,1:00 PM,2:45 PM,4:05 PM,7:15 PM,
04/01/2024,6:40 AM,8:24 AM,12:18 PM,2:14 PM,4:06 PM,5:42 PM,7:30 AM,1:00 PM,2:45 PM,4:06 PM,7:15 PM,
05/01/2024,6:39 AM,8:24 AM,12:19 PM,2:16 PM,4:07 PM,5:43 PM,7:30 AM,1:00 PM,3:00 PM,4:07 PM,7:15 PM,
06/01/2024,6:39 AM,8:23 AM,12:19 PM,2:17 PM,4:08 PM,5:44 PM,7:30 AM,1:00 PM,3:00 PM,4:08 PM,7:15 PM,
07/01/2024,6:39 AM,8:23 AM,12:19 PM,2:18 PM,4:10 PM,5:45 PM,7:30 AM,1:00 PM,3:00 PM,4:10 PM,7:15 PM,
08/01/2024,6:38 AM,8:22 AM,12:20 PM,2:19 PM,4:11 PM,5:46 PM,7:30 AM,1:00 PM,3:00 PM,4:11 PM,7:15 PM,
09/01/2024,6:38 AM,8:22 AM,12:20 PM,2:21 PM,4:13 PM,5:48 PM,7:30 AM,1:00 PM,3:00 PM,4:13 PM,7:15 PM,
10/01/2024,6:37 AM,8:21 AM,12:21 PM,2:22 PM,4:14 PM,5:49 PM,7:30 AM,1:00 PM,3:00 PM,4:14 PM,7:15 PM,
11/01/2024,6:37 AM,8:20 AM,12:21 PM,2:23 PM,4:16 PM,5:50 PM,7:30 AM,1:00 PM,3:00 PM,4:16 PM,7:15 PM,
12/01/2024,6:36 AM,8:20 AM,12:21 PM,2:25 PM,4:17 PM,5:51 PM,7:30 AM,1:00 PM,3:00 PM,4:17 PM,7:15 PM,
13/01/2024,6:35 AM,8:19 AM,12:22 PM,2:26 PM,4:19 PM,5:53 PM,7:30 AM,1:00 PM,3:00 PM,4:19 PM,7:15 PM,
14/01/2024,6:34 AM,8:18 AM,12:22 PM,2:28 PM,4:21 PM,5:54 PM,7:30 AM,1:00 PM,3:00 PM,4:21 PM,7:15 PM,
15/01/2024,6:34 AM,8:17 AM,12:23 PM,2:29 PM,4:22 PM,5:56 PM,7:30 AM,1:00 PM,3:00 PM,4:22 PM,7:15 PM,
16/01/2024,6:33 AM,8:16 AM,12:23 PM,2:31 PM,4:24 PM,5:57 PM,7:30 AM,1:00 PM,3:00 PM,4:24 PM,7:15 PM,
17/01/2024,6:32 AM,8:15 AM,12:23 PM,2:33 PM,4:26 PM,5:58 PM,7:30 AM,1:00 PM,3:00 PM,4:26 PM,7:15 PM,
